X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.955889173843,38.8843520825964,44632,Ward 7,"401 Anacostia Road Southeast, Washington, District of Columbia 20019",Mary's House,Pipeline,DCHA DHCD,15,38.88436039,-76.9558771,3,10,2,0,0,,28142,403827.38,135168.32,401 ANACOSTIA ROAD SE,2023/03/13 05:00:26+00
-77.0259372900923,38.9384309131959,44633,Ward 4,"930 Randolph Street Northwest, Washington, District of Columbia 20011",Petworth Station Feb 2018,Completed 2015 to Date,DCHFA DHCD,84,38.93842345,-77.025935,0,10,74,0,0,,225073,397751.51,141170.91,930 RANDOLPH STREET NW,2023/03/13 05:00:26+00
-77.0311528377792,38.9123760498375,44634,Ward 2,"1338 R Street Northwest, Washington, District of Columbia 20009",SOME - Anna Cooper House / Scattered Site III,Completed 2015 to Date,DCHFA DHCD,47,38.91236859,-77.03115054,47,0,0,0,0,,242888,397298.35,138278.74,1338 R STREET NW,2023/03/13 05:00:26+00
-76.9797839956769,38.9326298866632,44635,Ward 5,"3418 18th Street Northeast, Washington, District of Columbia 20018",3418 18th Street NE,Under Construction,DHCD,1,38.93264576,-76.97982415,0,0,0,1,0,,34816,401753.01,140526.82,3418 18TH STREET NE,2023/03/13 05:00:26+00
-77.0094260129778,38.910514465658,44636,Ward 5,"1532 North Capitol Street Northwest, Washington, District of Columbia 20001",1532 North Capitol NW,Completed 2015 to Date,DHCD,1,38.91048251,-77.0093542,0,0,1,0,0,,218336,399182.67,138071.67,1532 NORTH CAPITOL STREET NW,2023/03/13 05:00:26+00
-76.9964097094152,38.9283500199938,44637,Ward 5,"3058 7th Street Northeast, Washington, District of Columbia 20017",Portrait Square,Completed 2015 to Date,DHCD OP,3,38.92834223,-76.99640743,0,2,0,1,0,15-02,317725,400311.51,140051.53,3058 7TH STREET NE,2023/03/13 05:00:26+00
-77.0283504979829,38.9554899667657,44638,Ward 2,"1203 Jefferson Street Northwest, Washington, District of Columbia 20011",1203 Jefferson St NW,Under Construction,DHCD,2,38.95531924,-77.02820219,0,1,1,0,0,,300657,397542.88,143064.68,1203 JEFFERSON STREET NW,2023/03/13 05:00:26+00
-77.0339631839553,38.9377481896148,44639,Ward 4,"1416 Quincy Street Northwest, Washington, District of Columbia 20011",1416 Quincy St NW,Completed 2015 to Date,DHCD,2,38.93774073,-77.03396089,0,0,2,0,0,,277043,397055.66,141095.35,1416 QUINCY STREET NW,2023/03/13 05:00:26+00
-77.033608040074,38.9377422567144,44640,Ward 4,"1410 Quincy Street Northwest, Washington, District of Columbia 20011",1408-1410 Quincy St NW,Completed 2015 to Date,DHCD,1,38.93773446,-77.03360574,0,0,1,0,0,,258989,397086.45,141094.68,1410 QUINCY STREET NW,2023/03/13 05:00:26+00
-77.0397548870727,38.9157959774959,44641,Ward 2,"1729 T Street Northwest, Washington, District of Columbia 20009",1729 T St NW,Completed 2015 to Date,DHCD,1,38.91581753,-77.03974834,0,0,1,0,0,,241407,396552.47,138658.67,1729 T STREET NW,2023/03/13 05:00:26+00
